optimizer,Num of Layers,Epoch,Batch Size,Learning Rate,Validation Accuracy,Validation Loss,Samples
RMSprop,34,70,16,0.001,0.9914,0.1192,"RMSprop, 34, 70, 16, 0.001"
RMSprop,34,90,16,0.001,0.9953,0.0874,"RMSprop, 34, 90, 16, 0.001"
RMSprop,34,110,16,0.001,0.9973,0.0651,"RMSprop, 34, 110, 16, 0.001"
RMSprop,34,1,32,0.001,0.4791,1.7387,"RMSprop, 34, 1, 32, 0.001"
RMSprop,34,2,32,0.001,0.6098,1.4851,"RMSprop, 34, 2, 32, 0.001"
RMSprop,34,4,32,0.001,0.7216,1.2564,"RMSprop, 34, 4, 32, 0.001"
RMSprop,34,6,32,0.001,0.8045,1.0678,"RMSprop, 34, 6, 32, 0.001"
RMSprop,34,8,32,0.001,0.8627,0.9261,"RMSprop, 34, 8, 32, 0.001"
RMSprop,34,10,32,0.001,0.9043,0.8183,"RMSprop, 34, 10, 32, 0.001"
RMSprop,34,30,32,0.001,0.9734,0.2874,"RMSprop, 34, 30, 32, 0.001"
RMSprop,34,50,32,0.001,0.9893,0.1552,"RMSprop, 34, 50, 32, 0.001"
RMSprop,34,70,32,0.001,0.9947,0.1058,"RMSprop, 34, 70, 32, 0.001"
RMSprop,34,90,32,0.001,0.9972,0.0776,"RMSprop, 34, 90, 32, 0.001"
RMSprop,34,110,32,0.001,0.9986,0.0579,"RMSprop, 34, 110, 32, 0.001"
RMSprop,34,1,64,0.001,0.5201,1.6979,"RMSprop, 34, 1, 64, 0.001"
RMSprop,34,2,64,0.001,0.6662,1.4326,"RMSprop, 34, 2, 64, 0.001"
RMSprop,34,4,64,0.001,0.7806,1.1907,"RMSprop, 34, 4, 64, 0.001"
RMSprop,34,6,64,0.001,0.8597,0.9979,"RMSprop, 34, 6, 64, 0.001"
RMSprop,34,8,64,0.001,0.9161,0.8498,"RMSprop, 34, 8, 64, 0.001"
RMSprop,34,10,64,0.001,0.9556,0.7411,"RMSprop, 34, 10, 64, 0.001"
RMSprop,34,30,64,0.001,0.9876,0.2523,"RMSprop, 34, 30, 64, 0.001"
RMSprop,34,50,64,0.001,0.9944,0.1357,"RMSprop, 34, 50, 64, 0.001"
RMSprop,34,70,64,0.001,0.9972,0.0919,"RMSprop, 34, 70, 64, 0.001"
RMSprop,34,90,64,0.001,0.9987,0.0675,"RMSprop, 34, 90, 64, 0.001"
RMSprop,34,110,64,0.001,0.9993,0.0501,"RMSprop, 34, 110, 64, 0.001"
RMSprop,34,1,8,0.0025,0.4086,1.7551,"RMSprop, 34, 1, 8, 0.0025"
RMSprop,34,2,8,0.0025,0.5274,1.5273,"RMSprop, 34, 2, 8, 0.0025"
RMSprop,34,4,8,0.0025,0.6371,1.3035,"RMSprop, 34, 4, 8, 0.0025"
RMSprop,34,6,8,0.0025,0.7189,1.1132,"RMSprop, 34, 6, 8, 0.0025"
RMSprop,34,8,8,0.0025,0.7764,0.9657,"RMSprop, 34, 8, 8, 0.0025"
RMSprop,34,10,8,0.0025,0.8198,0.8542,"RMSprop, 34, 10, 8, 0.0025"
RMSprop,34,30,8,0.0025,0.9646,0.3087,"RMSprop, 34, 30, 8, 0.0025"
RMSprop,34,50,8,0.0025,0.9868,0.1684,"RMSprop, 34, 50, 8, 0.0025"
RMSprop,34,70,8,0.0025,0.9942,0.1144,"RMSprop, 34, 70, 8, 0.0025"
RMSprop,34,90,8,0.0025,0.9971,0.0842,"RMSprop, 34, 90, 8, 0.0025"
RMSprop,34,110,8,0.0025,0.9986,0.0631,"RMSprop, 34, 110, 8, 0.0025"
RMSprop,34,1,16,0.0025,0.4523,1.7145,"RMSprop, 34, 1, 16, 0.0025"
RMSprop,34,2,16,0.0025,0.5767,1.4753,"RMSprop, 34, 2, 16, 0.0025"
RMSprop,34,4,16,0.0025,0.6892,1.2459,"RMSprop, 34, 4, 16, 0.0025"
RMSprop,34,6,16,0.0025,0.7718,1.0583,"RMSprop, 34, 6, 16, 0.0025"
RMSprop,34,8,16,0.0025,0.8292,0.9128,"RMSprop, 34, 8, 16, 0.0025"
RMSprop,34,10,16,0.0025,0.8723,0.8021,"RMSprop, 34, 10, 16, 0.0025"
RMSprop,34,30,16,0.0025,0.9637,0.3006,"RMSprop, 34, 30, 16, 0.0025"
RMSprop,34,50,16,0.0025,0.9861,0.1637,"RMSprop, 34, 50, 16, 0.0025"
RMSprop,34,70,16,0.0025,0.9938,0.1118,"RMSprop, 34, 70, 16, 0.0025"
RMSprop,34,90,16,0.0025,0.9967,0.0825,"RMSprop, 34, 90, 16, 0.0025"
RMSprop,34,110,16,0.0025,0.9984,0.0616,"RMSprop, 34, 110, 16, 0.0025"
RMSprop,34,1,32,0.0025,0.4876,1.6782,"RMSprop, 34, 1, 32, 0.0025"
RMSprop,34,2,32,0.0025,0.6198,1.4347,"RMSprop, 34, 2, 32, 0.0025"
RMSprop,34,4,32,0.0025,0.7305,1.2029,"RMSprop, 34, 4, 32, 0.0025"
RMSprop,34,6,32,0.0025,0.8121,1.0102,"RMSprop, 34, 6, 32, 0.0025"
RMSprop,34,8,32,0.0025,0.8673,0.8649,"RMSprop, 34, 8, 32, 0.0025"
RMSprop,34,10,32,0.0025,0.9092,0.7551,"RMSprop, 34, 10, 32, 0.0025"
RMSprop,34,30,32,0.0025,0.9668,0.2872,"RMSprop, 34, 30, 32, 0.0025"
RMSprop,34,50,32,0.0025,0.9878,0.1565,"RMSprop, 34, 50, 32, 0.0025"
RMSprop,34,70,32,0.0025,0.9945,0.1068,"RMSprop, 34, 70, 32, 0.0025"
RMSprop,34,90,32,0.0025,0.9973,0.0786,"RMSprop, 34, 90, 32, 0.0025"
RMSprop,34,110,32,0.0025,0.9988,0.0587,"RMSprop, 34, 110, 32, 0.0025"
RMSprop,34,1,64,0.0025,0.5156,1.6419,"RMSprop, 34, 1, 64, 0.0025"
RMSprop,34,2,64,0.0025,0.6543,1.3967,"RMSprop, 34, 2, 64, 0.0025"
RMSprop,34,4,64,0.0025,0.7602,1.1695,"RMSprop, 34, 4, 64, 0.0025"
RMSprop,34,6,64,0.0025,0.8412,0.9756,"RMSprop, 34, 6, 64, 0.0025"
RMSprop,34,8,64,0.0025,0.8965,0.8291,"RMSprop, 34, 8, 64, 0.0025"
RMSprop,34,10,64,0.0025,0.9384,0.7193,"RMSprop, 34, 10, 64, 0.0025"
RMSprop,34,30,64,0.0025,0.9691,0.2779,"RMSprop, 34, 30, 64, 0.0025"
RMSprop,34,50,64,0.0025,0.9896,0.1516,"RMSprop, 34, 50, 64, 0.0025"
RMSprop,34,70,64,0.0025,0.9953,0.1032,"RMSprop, 34, 70, 64, 0.0025"
RMSprop,34,90,64,0.0025,0.9979,0.0754,"RMSprop, 34, 90, 64, 0.0025"
RMSprop,34,110,64,0.0025,0.9991,0.0564,"RMSprop, 34, 110, 64, 0.0025"
RMSprop,34,1,8,0.005,0.5748,1.4947,"RMSprop, 34, 1, 8, 0.005"
RMSprop,34,2,8,0.005,0.7071,1.1992,"RMSprop, 34, 2, 8, 0.005"
RMSprop,34,4,8,0.005,0.8174,0.9225,"RMSprop, 34, 4, 8, 0.005"
RMSprop,34,6,8,0.005,0.8923,0.7154,"RMSprop, 34, 6, 8, 0.005"
RMSprop,34,8,8,0.005,0.9357,0.5847,"RMSprop, 34, 8, 8, 0.005"
RMSprop,34,10,8,0.005,0.9614,0.4962,"RMSprop, 34, 10, 8, 0.005"
RMSprop,34,30,8,0.005,0.9936,0.1765,"RMSprop, 34, 30, 8, 0.005"
RMSprop,34,50,8,0.005,0.9973,0.0952,"RMSprop, 34, 50, 8, 0.005"
RMSprop,34,70,8,0.005,0.9989,0.0623,"RMSprop, 34, 70, 8, 0.005"
RMSprop,34,90,8,0.005,0.9995,0.0433,"RMSprop, 34, 90, 8, 0.005"
RMSprop,34,110,8,0.005,0.9998,0.0326,"RMSprop, 34, 110, 8, 0.005"
RMSprop,34,1,16,0.005,0.6204,1.4623,"RMSprop, 34, 1, 16, 0.005"
RMSprop,34,2,16,0.005,0.7515,1.1432,"RMSprop, 34, 2, 16, 0.005"
RMSprop,34,4,16,0.005,0.8587,0.8593,"RMSprop, 34, 4, 16, 0.005"
RMSprop,34,6,16,0.005,0.9251,0.6502,"RMSprop, 34, 6, 16, 0.005"
RMSprop,34,8,16,0.005,0.9634,0.5112,"RMSprop, 34, 8, 16, 0.005"
RMSprop,34,10,16,0.005,0.9827,0.4219,"RMSprop, 34, 10, 16, 0.005"
RMSprop,34,30,16,0.005,0.9974,0.1056,"RMSprop, 34, 30, 16, 0.005"
RMSprop,34,50,16,0.005,0.999,0.0567,"RMSprop, 34, 50, 16, 0.005"
RMSprop,34,70,16,0.005,0.9996,0.0385,"RMSprop, 34, 70, 16, 0.005"
RMSprop,34,90,16,0.005,0.9998,0.0279,"RMSprop, 34, 90, 16, 0.005"
RMSprop,34,110,16,0.005,0.9999,0.0209,"RMSprop, 34, 110, 16, 0.005"
RMSprop,34,1,32,0.005,0.6612,1.4236,"RMSprop, 34, 1, 32, 0.005"
RMSprop,34,2,32,0.005,0.7829,1.0913,"RMSprop, 34, 2, 32, 0.005"
RMSprop,34,4,32,0.005,0.8823,0.7983,"RMSprop, 34, 4, 32, 0.005"
RMSprop,34,6,32,0.005,0.9441,0.5927,"RMSprop, 34, 6, 32, 0.005"
RMSprop,34,8,32,0.005,0.9755,0.4596,"RMSprop, 34, 8, 32, 0.005"
RMSprop,34,10,32,0.005,0.9912,0.3728,"RMSprop, 34, 10, 32, 0.005"
RMSprop,34,30,32,0.005,0.998,0.0928,"RMSprop, 34, 30, 32, 0.005"
RMSprop,34,50,32,0.005,0.9993,0.0498,"RMSprop, 34, 50, 32, 0.005"
RMSprop,34,70,32,0.005,0.9998,0.0338,"RMSprop, 34, 70, 32, 0.005"
RMSprop,34,90,32,0.005,0.9999,0.0245,"RMSprop, 34, 90, 32, 0.005"
RMSprop,34,110,32,0.005,0.9999,0.0183,"RMSprop, 34, 110, 32, 0.005"
RMSprop,34,1,64,0.005,0.6908,1.3934,"RMSprop, 34, 1, 64, 0.005"
RMSprop,34,2,64,0.005,0.8123,1.0519,"RMSprop, 34, 2, 64, 0.005"
RMSprop,34,4,64,0.005,0.9072,0.7557,"RMSprop, 34, 4, 64, 0.005"
RMSprop,34,6,64,0.005,0.9564,0.5465,"RMSprop, 34, 6, 64, 0.005"
RMSprop,34,8,64,0.005,0.9804,0.4194,"RMSprop, 34, 8, 64, 0.005"
RMSprop,34,10,64,0.005,0.9931,0.3365,"RMSprop, 34, 10, 64, 0.005"
RMSprop,34,30,64,0.005,0.9985,0.0803,"RMSprop, 34, 30, 64, 0.005"
RMSprop,34,50,64,0.005,0.9994,0.0427,"RMSprop, 34, 50, 64, 0.005"
RMSprop,34,70,64,0.005,0.9998,0.0289,"RMSprop, 34, 70, 64, 0.005"
RMSprop,34,90,64,0.005,0.9999,0.021,"RMSprop, 34, 90, 64, 0.005"
RMSprop,34,110,64,0.005,1,0.0157,"RMSprop, 34, 110, 64, 0.005"
RMSprop,34,1,8,0.0075,0.1073,2.3991,"RMSprop, 34, 1, 8, 0.0075"
RMSprop,34,2,8,0.0075,0.1057,2.3952,"RMSprop, 34, 2, 8, 0.0075"
RMSprop,34,4,8,0.0075,0.1055,2.3948,"RMSprop, 34, 4, 8, 0.0075"
RMSprop,34,6,8,0.0075,0.1054,2.3946,"RMSprop, 34, 6, 8, 0.0075"
RMSprop,34,8,8,0.0075,0.1054,2.3946,"RMSprop, 34, 8, 8, 0.0075"
RMSprop,34,10,8,0.0075,0.1054,2.3946,"RMSprop, 34, 10, 8, 0.0075"
RMSprop,34,30,8,0.0075,0.1054,2.3946,"RMSprop, 34, 30, 8, 0.0075"
RMSprop,34,50,8,0.0075,0.1054,2.3946,"RMSprop, 34, 50, 8, 0.0075"
RMSprop,34,70,8,0.0075,0.1054,2.3946,"RMSprop, 34, 70, 8, 0.0075"
RMSprop,34,90,8,0.0075,0.1054,2.3946,"RMSprop, 34, 90, 8, 0.0075"
RMSprop,34,110,8,0.0075,0.1054,2.3946,"RMSprop, 34, 110, 8, 0.0075"
RMSprop,34,1,16,0.0075,0.1036,2.3979,"RMSprop, 34, 1, 16, 0.0075"
RMSprop,34,2,16,0.0075,0.1021,2.3984,"RMSprop, 34, 2, 16, 0.0075"
RMSprop,34,4,16,0.0075,0.1019,2.3985,"RMSprop, 34, 4, 16, 0.0075"
RMSprop,34,6,16,0.0075,0.1019,2.3985,"RMSprop, 34, 6, 16, 0.0075"
RMSprop,34,8,16,0.0075,0.1019,2.3985,"RMSprop, 34, 8, 16, 0.0075"
RMSprop,34,10,16,0.0075,0.1019,2.3985,"RMSprop, 34, 10, 16, 0.0075"
RMSprop,34,30,16,0.0075,0.1019,2.3985,"RMSprop, 34, 30, 16, 0.0075"
RMSprop,34,50,16,0.0075,0.1019,2.3985,"RMSprop, 34, 50, 16, 0.0075"
RMSprop,34,70,16,0.0075,0.1019,2.3985,"RMSprop, 34, 70, 16, 0.0075"
RMSprop,34,90,16,0.0075,0.1019,2.3985,"RMSprop, 34, 90, 16, 0.0075"
RMSprop,34,110,16,0.0075,0.1019,2.3985,"RMSprop, 34, 110, 16, 0.0075"
RMSprop,34,1,32,0.0075,0.1002,2.402,"RMSprop, 34, 1, 32, 0.0075"
RMSprop,34,2,32,0.0075,0.0986,2.4031,"RMSprop, 34, 2, 32, 0.0075"
RMSprop,34,4,32,0.0075,0.0984,2.4033,"RMSprop, 34, 4, 32, 0.0075"
RMSprop,34,6,32,0.0075,0.0984,2.4033,"RMSprop, 34, 6, 32, 0.0075"
RMSprop,34,8,32,0.0075,0.0984,2.4033,"RMSprop, 34, 8, 32, 0.0075"
RMSprop,34,10,32,0.0075,0.0984,2.4033,"RMSprop, 34, 10, 32, 0.0075"
RMSprop,34,30,32,0.0075,0.0984,2.4033,"RMSprop, 34, 30, 32, 0.0075"
RMSprop,34,50,32,0.0075,0.0984,2.4033,"RMSprop, 34, 50, 32, 0.0075"
RMSprop,34,70,32,0.0075,0.0984,2.4033,"RMSprop, 34, 70, 32, 0.0075"
RMSprop,34,90,32,0.0075,0.0984,2.4033,"RMSprop, 34, 90, 32, 0.0075"
RMSprop,34,110,32,0.0075,0.0984,2.4033,"RMSprop, 34, 110, 32, 0.0075"
RMSprop,34,1,64,0.0075,0.0967,2.4062,"RMSprop, 34, 1, 64, 0.0075"
RMSprop,34,2,64,0.0075,0.0951,2.4075,"RMSprop, 34, 2, 64, 0.0075"
RMSprop,34,4,64,0.0075,0.0949,2.4077,"RMSprop, 34, 4, 64, 0.0075"
RMSprop,34,6,64,0.0075,0.0949,2.4077,"RMSprop, 34, 6, 64, 0.0075"
RMSprop,34,8,64,0.0075,0.0949,2.4077,"RMSprop, 34, 8, 64, 0.0075"
RMSprop,34,10,64,0.0075,0.0949,2.4077,"RMSprop, 34, 10, 64, 0.0075"
RMSprop,34,30,64,0.0075,0.0949,2.4077,"RMSprop, 34, 30, 64, 0.0075"
RMSprop,34,50,64,0.0075,0.0949,2.4077,"RMSprop, 34, 50, 64, 0.0075"
RMSprop,34,70,64,0.0075,0.0949,2.4077,"RMSprop, 34, 70, 64, 0.0075"
RMSprop,34,90,64,0.0075,0.0949,2.4077,"RMSprop, 34, 90, 64, 0.0075"
RMSprop,34,110,64,0.0075,0.0949,2.4077,"RMSprop, 34, 110, 64, 0.0075"
RMSprop,34,1,8,0.01,0.1123,2.3814,"RMSprop, 34, 1, 8, 0.01"
RMSprop,34,2,8,0.01,0.1012,2.4031,"RMSprop, 34, 2, 8, 0.01"
RMSprop,34,4,8,0.01,0.0981,2.4098,"RMSprop, 34, 4, 8, 0.01"
RMSprop,34,6,8,0.01,0.0965,2.4125,"RMSprop, 34, 6, 8, 0.01"
RMSprop,34,8,8,0.01,0.0956,2.4139,"RMSprop, 34, 8, 8, 0.01"
RMSprop,34,10,8,0.01,0.0951,2.4147,"RMSprop, 34, 10, 8, 0.01"
RMSprop,34,30,8,0.01,0.0949,2.415,"RMSprop, 34, 30, 8, 0.01"
RMSprop,34,50,8,0.01,0.0949,2.415,"RMSprop, 34, 50, 8, 0.01"
RMSprop,34,70,8,0.01,0.0949,2.415,"RMSprop, 34, 70, 8, 0.01"
RMSprop,34,90,8,0.01,0.0949,2.415,"RMSprop, 34, 90, 8, 0.01"
RMSprop,34,110,8,0.01,0.0949,2.415,"RMSprop, 34, 110, 8, 0.01"
RMSprop,34,1,16,0.01,0.1056,2.3971,"RMSprop, 34, 1, 16, 0.01"
RMSprop,34,2,16,0.01,0.0966,2.412,"RMSprop, 34, 2, 16, 0.01"
RMSprop,34,4,16,0.01,0.0949,2.415,"RMSprop, 34, 4, 16, 0.01"
RMSprop,34,6,16,0.01,0.0949,2.415,"RMSprop, 34, 6, 16, 0.01"
RMSprop,34,8,16,0.01,0.0949,2.415,"RMSprop, 34, 8, 16, 0.01"
RMSprop,34,10,16,0.01,0.0949,2.415,"RMSprop, 34, 10, 16, 0.01"
RMSprop,34,30,16,0.01,0.0949,2.415,"RMSprop, 34, 30, 16, 0.01"
RMSprop,34,50,16,0.01,0.0949,2.415,"RMSprop, 34, 50, 16, 0.01"
RMSprop,34,70,16,0.01,0.0949,2.415,"RMSprop, 34, 70, 16, 0.01"
RMSprop,34,90,16,0.01,0.0949,2.415,"RMSprop, 34, 90, 16, 0.01"
RMSprop,34,110,16,0.01,0.0949,2.415,"RMSprop, 34, 110, 16, 0.01"
RMSprop,34,1,32,0.01,0.1195,2.3587,"RMSprop, 34, 1, 32, 0.01"
RMSprop,34,2,32,0.01,0.1032,2.3989,"RMSprop, 34, 2, 32, 0.01"
RMSprop,34,4,32,0.01,0.0984,2.4107,"RMSprop, 34, 4, 32, 0.01"
RMSprop,34,6,32,0.01,0.0968,2.4134,"RMSprop, 34, 6, 32, 0.01"
RMSprop,34,8,32,0.01,0.0959,2.4149,"RMSprop, 34, 8, 32, 0.01"
RMSprop,34,10,32,0.01,0.0954,2.4157,"RMSprop, 34, 10, 32, 0.01"
RMSprop,34,30,32,0.01,0.0949,2.4159,"RMSprop, 34, 30, 32, 0.01"
RMSprop,34,50,32,0.01,0.0949,2.4159,"RMSprop, 34, 50, 32, 0.01"
RMSprop,34,70,32,0.01,0.0949,2.4159,"RMSprop, 34, 70, 32, 0.01"
RMSprop,34,90,32,0.01,0.0949,2.4159,"RMSprop, 34, 90, 32, 0.01"
RMSprop,34,110,32,0.01,0.0949,2.4159,"RMSprop, 34, 110, 32, 0.01"
RMSprop,34,1,64,0.01,0.1338,2.3254,"RMSprop, 34, 1, 64, 0.01"
RMSprop,34,2,64,0.01,0.1073,2.3778,"RMSprop, 34, 2, 64, 0.01"
RMSprop,34,4,64,0.01,0.0981,2.4089,"RMSprop, 34, 4, 64, 0.01"
RMSprop,34,6,64,0.01,0.0965,2.4122,"RMSprop, 34, 6, 64, 0.01"
RMSprop,34,8,64,0.01,0.0956,2.4135,"RMSprop, 34, 8, 64, 0.01"
RMSprop,34,10,64,0.01,0.0951,2.4142,"RMSprop, 34, 10, 64, 0.01"
RMSprop,34,30,64,0.01,0.0949,2.4146,"RMSprop, 34, 30, 64, 0.01"
RMSprop,34,50,64,0.01,0.0949,2.4146,"RMSprop, 34, 50, 64, 0.01"
RMSprop,34,70,64,0.01,0.0949,2.4146,"RMSprop, 34, 70, 64, 0.01"
RMSprop,34,90,64,0.01,0.0949,2.4146,"RMSprop, 34, 90, 64, 0.01"
RMSprop,34,110,64,0.01,0.0949,2.4146,"RMSprop, 34, 110, 64, 0.01"
SGD,34,1,8,0.001,0.4834,1.8565,"SGD, 34, 1, 8, 0.001"
SGD,34,2,8,0.001,0.5268,1.7462,"SGD, 34, 2, 8, 0.001"
SGD,34,4,8,0.001,0.5672,1.6339,"SGD, 34, 4, 8, 0.001"
SGD,34,6,8,0.001,0.6073,1.5187,"SGD, 34, 6, 8, 0.001"
SGD,34,8,8,0.001,0.6439,1.4079,"SGD, 34, 8, 8, 0.001"
SGD,34,10,8,0.001,0.6805,1.3053,"SGD, 34, 10, 8, 0.001"
SGD,34,30,8,0.001,0.8331,0.8167,"SGD, 34, 30, 8, 0.001"
SGD,34,50,8,0.001,0.8846,0.6614,"SGD, 34, 50, 8, 0.001"
SGD,34,70,8,0.001,0.9102,0.5513,"SGD, 34, 70, 8, 0.001"
SGD,34,90,8,0.001,0.9304,0.4682,"SGD, 34, 90, 8, 0.001"
SGD,34,110,8,0.001,0.9439,0.4035,"SGD, 34, 110, 8, 0.001"
SGD,34,1,16,0.001,0.5187,1.7974,"SGD, 34, 1, 16, 0.001"
SGD,34,2,16,0.001,0.5642,1.6719,"SGD, 34, 2, 16, 0.001"
SGD,34,4,16,0.001,0.6086,1.5496,"SGD, 34, 4, 16, 0.001"
SGD,34,6,16,0.001,0.6493,1.4322,"SGD, 34, 6, 16, 0.001"
SGD,34,8,16,0.001,0.6865,1.3182,"SGD, 34, 8, 16, 0.001"
SGD,34,10,16,0.001,0.7196,1.2159,"SGD, 34, 10, 16, 0.001"
SGD,34,30,16,0.001,0.8627,0.7743,"SGD, 34, 30, 16, 0.001"
SGD,34,50,16,0.001,0.9061,0.6254,"SGD, 34, 50, 16, 0.001"
SGD,34,70,16,0.001,0.9273,0.5206,"SGD, 34, 70, 16, 0.001"
SGD,34,90,16,0.001,0.9449,0.4402,"SGD, 34, 90, 16, 0.001"
SGD,34,110,16,0.001,0.9553,0.3799,"SGD, 34, 110, 16, 0.001"
SGD,34,1,32,0.001,0.5506,1.7782,"SGD, 34, 1, 32, 0.001"
SGD,34,2,32,0.001,0.5977,1.6508,"SGD, 34, 2, 32, 0.001"
SGD,34,4,32,0.001,0.6414,1.5267,"SGD, 34, 4, 32, 0.001"
SGD,34,6,32,0.001,0.6823,1.4074,"SGD, 34, 6, 32, 0.001"
SGD,34,8,32,0.001,0.7199,1.2934,"SGD, 34, 8, 32, 0.001"
SGD,34,10,32,0.001,0.7547,1.1875,"SGD, 34, 10, 32, 0.001"
SGD,34,30,32,0.001,0.8914,0.7249,"SGD, 34, 30, 32, 0.001"
SGD,34,50,32,0.001,0.9238,0.5772,"SGD, 34, 50, 32, 0.001"
SGD,34,70,32,0.001,0.9443,0.4751,"SGD, 34, 70, 32, 0.001"
SGD,34,90,32,0.001,0.9579,0.3977,"SGD, 34, 90, 32, 0.001"
SGD,34,110,32,0.001,0.9653,0.3396,"SGD, 34, 110, 32, 0.001"
SGD,34,1,64,0.001,0.5741,1.7601,"SGD, 34, 1, 64, 0.001"
SGD,34,2,64,0.001,0.6202,1.6323,"SGD, 34, 2, 64, 0.001"
SGD,34,4,64,0.001,0.6634,1.5089,"SGD, 34, 4, 64, 0.001"
SGD,34,6,64,0.001,0.7027,1.3914,"SGD, 34, 6, 64, 0.001"
SGD,34,8,64,0.001,0.7395,1.2793,"SGD, 34, 8, 64, 0.001"
SGD,34,10,64,0.001,0.7731,1.174,"SGD, 34, 10, 64, 0.001"
SGD,34,30,64,0.001,0.9092,0.7108,"SGD, 34, 30, 64, 0.001"
SGD,34,50,64,0.001,0.9356,0.5671,"SGD, 34, 50, 64, 0.001"
SGD,34,70,64,0.001,0.9508,0.4679,"SGD, 34, 70, 64, 0.001"
SGD,34,90,64,0.001,0.9617,0.3925,"SGD, 34, 90, 64, 0.001"
SGD,34,110,64,0.001,0.9682,0.3352,"SGD, 34, 110, 64, 0.001"
SGD,34,1,8,0.0025,0.5492,1.7538,"SGD, 34, 1, 8, 0.0025"
SGD,34,2,8,0.0025,0.6187,1.5642,"SGD, 34, 2, 8, 0.0025"
SGD,34,4,8,0.0025,0.6851,1.3746,"SGD, 34, 4, 8, 0.0025"
SGD,34,6,8,0.0025,0.7449,1.1937,"SGD, 34, 6, 8, 0.0025"
SGD,34,8,8,0.0025,0.7913,1.0374,"SGD, 34, 8, 8, 0.0025"
SGD,34,10,8,0.0025,0.8246,0.9136,"SGD, 34, 10, 8, 0.0025"
SGD,34,30,8,0.0025,0.9426,0.3628,"SGD, 34, 30, 8, 0.0025"
SGD,34,50,8,0.0025,0.9614,0.2319,"SGD, 34, 50, 8, 0.0025"
SGD,34,70,8,0.0025,0.9718,0.1685,"SGD, 34, 70, 8, 0.0025"
SGD,34,90,8,0.0025,0.9773,0.1287,"SGD, 34, 90, 8, 0.0025"
SGD,34,110,8,0.0025,0.9805,0.1058,"SGD, 34, 110, 8, 0.0025"
SGD,34,1,16,0.0025,0.6027,1.6792,"SGD, 34, 1, 16, 0.0025"
SGD,34,2,16,0.0025,0.6759,1.4723,"SGD, 34, 2, 16, 0.0025"
SGD,34,4,16,0.0025,0.7471,1.2804,"SGD, 34, 4, 16, 0.0025"
SGD,34,6,16,0.0025,0.8076,1.1043,"SGD, 34, 6, 16, 0.0025"
SGD,34,8,16,0.0025,0.8572,0.9527,"SGD, 34, 8, 16, 0.0025"
SGD,34,10,16,0.0025,0.8949,0.8354,"SGD, 34, 10, 16, 0.0025"
SGD,34,30,16,0.0025,0.9786,0.1573,"SGD, 34, 30, 16, 0.0025"
SGD,34,50,16,0.0025,0.9903,0.0689,"SGD, 34, 50, 16, 0.0025"
SGD,34,70,16,0.0025,0.9937,0.0402,"SGD, 34, 70, 16, 0.0025"
SGD,34,90,16,0.0025,0.9958,0.0294,"SGD, 34, 90, 16, 0.0025"
SGD,34,110,16,0.0025,0.9969,0.0243,"SGD, 34, 110, 16, 0.0025"
SGD,34,1,32,0.0025,0.6263,1.6439,"SGD, 34, 1, 32, 0.0025"
SGD,34,2,32,0.0025,0.7037,1.4315,"SGD, 34, 2, 32, 0.0025"
SGD,34,4,32,0.0025,0.7814,1.2287,"SGD, 34, 4, 32, 0.0025"
SGD,34,6,32,0.0025,0.8492,1.0449,"SGD, 34, 6, 32, 0.0025"
SGD,34,8,32,0.0025,0.9068,0.8892,"SGD, 34, 8, 32, 0.0025"
SGD,34,10,32,0.0025,0.9514,0.7665,"SGD, 34, 10, 32, 0.0025"
SGD,34,30,32,0.0025,0.9934,0.0376,"SGD, 34, 30, 32, 0.0025"
SGD,34,50,32,0.0025,0.9972,0.0123,"SGD, 34, 50, 32, 0.0025"
SGD,34,70,32,0.0025,0.9986,0.0063,"SGD, 34, 70, 32, 0.0025"
SGD,34,90,32,0.0025,0.9991,0.004,"SGD, 34, 90, 32, 0.0025"
SGD,34,110,32,0.0025,0.9994,0.003,"SGD, 34, 110, 32, 0.0025"
SGD,34,1,64,0.0025,0.6471,1.6038,"SGD, 34, 1, 64, 0.0025"
SGD,34,2,64,0.0025,0.7258,1.3832,"SGD, 34, 2, 64, 0.0025"
SGD,34,4,64,0.0025,0.8079,1.1768,"SGD, 34, 4, 64, 0.0025"
SGD,34,6,64,0.0025,0.8793,0.9902,"SGD, 34, 6, 64, 0.0025"
SGD,34,8,64,0.0025,0.9375,0.8355,"SGD, 34, 8, 64, 0.0025"
SGD,34,10,64,0.0025,0.9781,0.7161,"SGD, 34, 10, 64, 0.0025"
SGD,34,30,64,0.0025,0.9962,0.0208,"SGD, 34, 30, 64, 0.0025"
SGD,34,50,64,0.0025,0.999,0.0053,"SGD, 34, 50, 64, 0.0025"
SGD,34,70,64,0.0025,0.9997,0.0024,"SGD, 34, 70, 64, 0.0025"
SGD,34,90,64,0.0025,0.9999,0.0014,"SGD, 34, 90, 64, 0.0025"
SGD,34,110,64,0.0025,0.9999,0.001,"SGD, 34, 110, 64, 0.0025"
SGD,34,1,8,0.005,0.6445,1.5856,"SGD, 34, 1, 8, 0.005"
SGD,34,2,8,0.005,0.7412,1.3254,"SGD, 34, 2, 8, 0.005"
SGD,34,4,8,0.005,0.8359,1.0723,"SGD, 34, 4, 8, 0.005"
SGD,34,6,8,0.005,0.8945,0.8904,"SGD, 34, 6, 8, 0.005"
